$COUNTRY$ Granted Independence;$COUNTRY$ Granted Independence;;;;;;;;;;;;;x
$COUNTRY$ Is Lost;$COUNTRY$ Is Lost;;;;;;;;;;;;;x
$COUNTRY$ has been overrun. We must face the fact that we have lost the civil war and surrender.;$COUNTRY$ has been overrun. We must face the fact that we have lost the civil war and surrender.;;;;;;;;;;;;;x
$COUNTRY_ADJ$ Markets Liberated!;$COUNTRY_ADJ$ Markets Liberated!;;;;;;;;;;;;;x
$COUNTRY_ADJ$ Neutrality;$COUNTRY_ADJ$ Neutrality;;;;;;;;;;;;;x
$COUNTRY_ADJ$ Territories;$COUNTRY_ADJ$ Territories;;;;;;;;;;;;;x
$FROMCOUNTRY$ Accepts;$FROMCOUNTRY$ Accepts;;;;;;;;;;;;;x
$FROMCOUNTRY$ Attacks!;$FROMCOUNTRY$ Attacks!;;;;;;;;;;;;;x
$FROMCOUNTRY$ Defies Us!;$FROMCOUNTRY$ Defies Us!;;;;;;;;;;;;;x
$FROMCOUNTRY$ Defies the Emperor!;$FROMCOUNTRY$ Defies the Emperor!;;;;;;;;;;;;;x
$FROMCOUNTRY$ Has Agreed;$FROMCOUNTRY$ Has Agreed;;;;;;;;;;;;;x
$FROMCOUNTRY$ Has Refused;$FROMCOUNTRY$ Has Refused;;;;;;;;;;;;;x
$FROMCOUNTRY$ Has Refused!;$FROMCOUNTRY$ Has Refused!;;;;;;;;;;;;;x
$FROMCOUNTRY$ Reneges;$FROMCOUNTRY$ Reneges;;;;;;;;;;;;;x
$FROMCOUNTRY$ Surrenders;$FROMCOUNTRY$ Surrenders;;;;;;;;;;;;;x
$FROMCOUNTRY$ has United!;$FROMCOUNTRY$ has United!;;;;;;;;;;;;;x
$FROMCOUNTRY$ has accepted our proposal.;$FROMCOUNTRY$ has accepted our proposal.;;;;;;;;;;;;;x
$FROMCOUNTRY$ has accepted our proposal. Their border with Russia has been adjusted and the treaty signed.;$FROMCOUNTRY$ has accepted our proposal. Their border with Russia has been adjusted and the treaty signed.;;;;;;;;;;;;;x
$FROMCOUNTRY$ has agreed to live up to its part of the bargain and hand over Cyprus.;$FROMCOUNTRY$ has agreed to live up to its part of the bargain and hand over Cyprus.;;;;;;;;;;;;;x
