Our 'liberation' is near, as our liberators put it we will be more 'under new managment' than free...;Our 'liberation' is near, as our liberators put it we will be more 'under new managment' than free...;;;;;;;;;;;;;x
Our Delegation has gone to the World's Fair in $FROMCOUNTRY$!;Our Delegation has gone to the World's Fair in $FROMCOUNTRY$!;;;;;;;;;;;;;x
Our Enemy is Defeated;Our Enemy is Defeated;;;;;;;;;;;;;x
Our Great Leader has been murdered!;Our Great Leader has been murdered!;;;;;;;;;;;;;x
Our Proposal was Refused;Our Proposal was Refused;;;;;;;;;;;;;x
Our enemy has finally shown its true face, trying to break our revoultionary spirit! It is indeed a powerful and demanding enemy, therefor Germany has to take demanding measures! With our new government we shall prevail!;Our enemy has finally shown its true face, trying to break our revoultionary spirit! It is indeed a powerful and demanding enemy, therefor Germany has to take demanding measures! With our new government we shall prevail!;;;;;;;;;;;;;x
Our glorious proletarian dictatorship has done away with the corrupt fat cats in the stock market. They shall dictate to our government no more!;Our glorious proletarian dictatorship has done away with the corrupt fat cats in the stock market. They shall dictate to our government no more!;;;;;;;;;;;;;x
Our government is of opinion that our productive forces are sufficiently developed, and thus our economy may begin transition to Communism!;Our government is of opinion that our productive forces are sufficiently developed, and thus our economy may begin transition to Communism!;;;;;;;;;;;;;x
Our government is of the opinion that the revolutionary pan-german unification has created a powerful and indeed very dangerous enemy. Therefor the German expansion must be contained before it is too late.;Our government is of the opinion that the revolutionary pan-german unification has created a powerful and indeed very dangerous enemy. Therefor the German expansion must be contained before it is too late.;;;;;;;;;;;;;x
Our growing influence in a foreign government allows us to station troops in their territory.;Our growing influence in a foreign government allows us to station troops in their territory.;;;;;;;;;;;;;x
Our hardworking First minister was found dead at his desk this morning.;Our hardworking First minister was found dead at his desk this morning.;;;;;;;;;;;;;x
Our hardworking Great Leader was found dead at his chateaux this morning, by the six young ladies who were in his care...;Our hardworking Great Leader was found dead at his chateaux this morning, by the six young ladies who were in his care...;;;;;;;;;;;;;x
Our head of government has been murdered!;Our head of government has been murdered!;;;;;;;;;;;;;x
Our industry has been crippled by a general strike!;Our industry has been crippled by a general strike!;;;;;;;;;;;;;x
Our levels of soldier recruitment are perilously low. Perhaps a concerted effort to bring recruits to the army is required?;Our levels of soldier recruitment are perilously low. Perhaps a concerted effort to bring recruits to the army is required?;;;;;;;;;;;;;x
Our new Great Leader is a brilliant administrator;Our new Great Leader is a brilliant administrator;;;;;;;;;;;;;x
Our new Great Leader is a firm disciplinarian. Very firm.;Our new Great Leader is a firm disciplinarian. Very firm.;;;;;;;;;;;;;x
Our new Great Leader is a firm traditionalist;Our new Great Leader is a firm traditionalist;;;;;;;;;;;;;x
Our new Great Leader is a gifted academic ;Our new Great Leader is a gifted academic ;;;;;;;;;;;;;x
Our new Great Leader is a grumpy economist.;Our new Great Leader is a grumpy economist.;;;;;;;;;;;;;x
Our new Great Leader is a marvel of efficiency;Our new Great Leader is a marvel of efficiency;;;;;;;;;;;;;x
Our new Great Leader is a marvellous statesman;Our new Great Leader is a marvellous statesman;;;;;;;;;;;;;x
Our new Great Leader is a popular figure;Our new Great Leader is a popular figure;;;;;;;;;;;;;x
Our new Great Leader is a retired general;Our new Great Leader is a retired general;;;;;;;;;;;;;x
Our new Great Leader is a successful industrialist;Our new Great Leader is a successful industrialist;;;;;;;;;;;;;x
Our new Great Leader is a true aristocrat;Our new Great Leader is a true aristocrat;;;;;;;;;;;;;x
Our new Great Leader is a true patriot;Our new Great Leader is a true patriot;;;;;;;;;;;;;x
Our new Great Leader is a true visionary;Our new Great Leader is a true visionary;;;;;;;;;;;;;x
Our new Great Leader is an expert diplomat. ;Our new Great Leader is an expert diplomat. ;;;;;;;;;;;;;x
Our new Great Leader is an old admiral;Our new Great Leader is an old admiral;;;;;;;;;;;;;x
Our new Great Leader is an old guard aristocrat ;Our new Great Leader is an old guard aristocrat ;;;;;;;;;;;;;x
Our new Great Leader is an old union man;Our new Great Leader is an old union man;;;;;;;;;;;;;x
Our new Great Leader is, erm, highly unorthodox...;Our new Great Leader is, erm, highly unorthodox...;;;;;;;;;;;;;x
Our new Head of Government is a brilliant administrator;Our new Head of Government is a brilliant administrator;;;;;;;;;;;;;x
Our new Head of Government is a firm traditionalist;Our new Head of Government is a firm traditionalist;;;;;;;;;;;;;x
Our new Head of Government is a gifted academic ;Our new Head of Government is a gifted academic ;;;;;;;;;;;;;x
Our new Head of Government is a great believer in reform;Our new Head of Government is a great believer in reform;;;;;;;;;;;;;x
Our new Head of Government is a grumpy economist.;Our new Head of Government is a grumpy economist.;;;;;;;;;;;;;x
Our new Head of Government is a marvel of efficiency;Our new Head of Government is a marvel of efficiency;;;;;;;;;;;;;x
Our new Head of Government is a marvellous statesman;Our new Head of Government is a marvellous statesman;;;;;;;;;;;;;x
Our new Head of Government is a popular figure;Our new Head of Government is a popular figure;;;;;;;;;;;;;x
Our new Head of Government is a quiet genius;Our new Head of Government is a quiet genius;;;;;;;;;;;;;x
Our new Head of Government is a retired general;Our new Head of Government is a retired general;;;;;;;;;;;;;x
Our new Head of Government is a successful industrialist;Our new Head of Government is a successful industrialist;;;;;;;;;;;;;x
Our new Head of Government is a true aristocrat;Our new Head of Government is a true aristocrat;;;;;;;;;;;;;x
Our new Head of Government is a true patriot;Our new Head of Government is a true patriot;;;;;;;;;;;;;x
Our new Head of Government is a true visionary;Our new Head of Government is a true visionary;;;;;;;;;;;;;x
Our new Head of Government is a union man;Our new Head of Government is a union man;;;;;;;;;;;;;x
Our new Head of Government is an expert diplomat. ;Our new Head of Government is an expert diplomat. ;;;;;;;;;;;;;x
Our new Head of Government is an inbred halfwit.;Our new Head of Government is an inbred halfwit.;;;;;;;;;;;;;x
Our new Head of Government is an old admiral;Our new Head of Government is an old admiral;;;;;;;;;;;;;x
Our new Head of Government is an old guard aristocrat ;Our new Head of Government is an old guard aristocrat ;;;;;;;;;;;;;x
Our new Head of Government is nothing special, I'm afraid;Our new Head of Government is nothing special, I'm afraid;;;;;;;;;;;;;x
Our new Head of Government is, erm, highly unorthodox...;Our new Head of Government is, erm, highly unorthodox...;;;;;;;;;;;;;x
Our new head of government is a brilliant administrator;Our new head of government is a brilliant administrator;;;;;;;;;;;;;x
Our new head of government is a firm disciplinarian. Very firm.;Our new head of government is a firm disciplinarian. Very firm.;;;;;;;;;;;;;x
Our new head of government is a firm traditionalist;Our new head of government is a firm traditionalist;;;;;;;;;;;;;x
Our new head of government is a gifted academic ;Our new head of government is a gifted academic ;;;;;;;;;;;;;x
Our new head of government is a great believer in reform;Our new head of government is a great believer in reform;;;;;;;;;;;;;x
Our new head of government is a marvel of efficiency;Our new head of government is a marvel of efficiency;;;;;;;;;;;;;x
Our new head of government is a marvellous statesman;Our new head of government is a marvellous statesman;;;;;;;;;;;;;x
Our new head of government is a member of the royal family;Our new head of government is a member of the royal family;;;;;;;;;;;;;x
